id	display	accessLevel	category	dateCataloged	dateModified	filePath	schemaVersion	storageArea	title	url
MM00000001	Multimedia 1	Zugriffsstufe	Dateityp	2023-06-01	2023-06-06	Dateipfad	0.4	Speicherbereich	Multimedia 1	https://www.dla-marbach.de/find/opac/id/MM00000001
MM00000010	Multimedia 10 ohne ext mit thumbnail tif public					https://digital.dla-marbach.de/viewer/image/BF00043389/0015/?media_thumbnail=BF00043389_0015.tif&media_access=public	0.4		Multimedia 10 ohne ext mit thumbnail tif public	https://www.dla-marbach.de/find/opac/id/MM00000010
MM00000011	Multimedia 11 ohne ext public					https://digital.dla-marbach.de/viewer/image/BF00043389/?media_access=public	0.4		Multimedia 11 ohne ext public	https://www.dla-marbach.de/find/opac/id/MM00000011
MM00000012	Multimedia 12 mit thumbnail public					https://digital.dla-marbach.de/viewer/mirador/?pi=BF00043389&page=15&media_thumb=BF00043389_0015.tif&media_access=public	0.4		Multimedia 12 mit thumbnail public	https://www.dla-marbach.de/find/opac/id/MM00000012
MM00000013	Multimedia 13 Internetlink ohne Dateiendung					https://www.ardmediathek.de/video/tage-der-deutschsprachigen-literatur/48-tage-der-deutschsprachigen-literatur-die-preisverleihung/3sat/Y3JpZDovLzNzYXQuZGUvU0NNU190cmFuc2Zlcl9TQ01TX2E4MGViZTE5LWYwNzctNGJhZC05MzFiLTc3NjVkOWY1ODJhOA	0.4		Multimedia 13 Internetlink ohne Dateiendung	https://www.dla-marbach.de/find/opac/id/MM00000013
MM00000014	Multimedia 14 Internetlink mp3					https://www.dichterlesen.net/fileadmin/user_upload/2024-02-22_Buchpremiere_Paula_Fuerstenberg_01.mp3	0.4		Multimedia 14 Internetlink mp3	https://www.dla-marbach.de/find/opac/id/MM00000014
MM00000002	Multimedia 2						0.4		Multimedia 2	https://www.dla-marbach.de/find/opac/id/MM00000002
MM00000003	Multimedia 3 (Link zu ignorieren)					https://www.dassollteignoriertwerden.de/song.mp3	0.4	DIGI	Multimedia 3 (Link zu ignorieren)	https://www.dla-marbach.de/find/opac/id/MM00000003
MM00000004	Multimedia 4 (Link zu ignorieren)					C:\USERS\DLA\dassollteignoriertwerden.jpg	0.4		Multimedia 4 (Link zu ignorieren)	https://www.dla-marbach.de/find/opac/id/MM00000004
MM00000005	Multimedia 5 pdf public					https://digital.dla-marbach.de/files/dbst02/public/2024/20240118/20240118-0001.pdf?media_access=public	0.4		Multimedia 5 pdf public	https://www.dla-marbach.de/find/opac/id/MM00000005
MM00000006	Multimedia 6 pdf public mit thumbnail					https://digital.dla-marbach.de/files/ebook/public/knierzinger_nachleben-arbeitsmaterial/nierzinger_nachleben-arbeitsmaterial.pdf?media_access=public&media_thumbnail=knierzinger_titlepage.png	0.4		Multimedia 6 pdf public mit thumbnail	https://www.dla-marbach.de/find/opac/id/MM00000006
MM00000007	Multimedia 7 jpg campus					https://digital.dla-marbach.de/iiif/2/campus/D20041221/D20041221-12.jpg/full/full/0/default.jpg?media_access=campus	0.4		Multimedia 7 jpg campus	https://www.dla-marbach.de/find/opac/id/MM00000007
MM00000008	Multimedia 8 jpg public					https://digital.dla-marbach.de/viewer/api/v1/records/BF00043389/files/images/BF000433890_0001.tif/full/!1307,2048/0/default.jpg?media_access=public	0.4		Multimedia 8 jpg public	https://www.dla-marbach.de/find/opac/id/MM00000008
MM00000009	Multimedia 9 ohne ext mit thumbnail jpg campus					https://digital.dla-marbach.de/viewer/image/BF00043389/0015/?media_thumbnail=BF00043389_0015.jpg&media_access=campus	0.4		Multimedia 9 ohne ext mit thumbnail jpg campus	https://www.dla-marbach.de/find/opac/id/MM00000009
